Job Title,Employer Name,Budget,Proposal,Client_Location,Job Description
.NET Multi-platform App UI tracker app development(MAUI),No Employer Name Available,₹350-650 INR / hour,7 proposals,"Vienna,  Austria","I am looking for a talented app developer with extensive experience in .NET Multi-platform App UI, to create a tracker application compatible with Windows and MacOS. 

Key requirements include:
- Proficiency in .NET Multi-platform App UI
- Experience in developing cross-platform applications
- Knowledge in implementing user authentication systems

Features of app are 
- Start/Stop timer
- Taking screenshots at intervals
- Low activity alerts(ideal alerts)

you can write maui at beginning so we know we read this

The application will require a user authentication system based on a username and password and also MS auth to login. Therefore, the ideal candidate should have experience in creating secure and user-friendly login interfaces."
Rive Animations for Website,No Employer Name Available,€30-250 EUR,32 proposals,"Courbevoie,  France","I'm looking for an animation designer to create 23 animations for our website. But we don't have a big budget (startup pre-launch)

Some are very complicated, others very simple:
-1 Complex
- 2 less complex
- 1 suite of 5 moderately complex animations (for pricing)
- 2 simple animations
- 3 very simple animations
- 2 loading animations (1 simple / 1 more complex)
- & 8 animated icons

Link of the Figma to have an idea : [login to view URL]

I've contacted several designers, including yourself, and would like to receive :
- a quote for the whole project
- An estimation for the simple loader (to start the collaboration)
- And an estimate of development time

So that I can compare you and make my decision.

Thank you"
Urgent: Modern Minimalist Portfolio Website,No Employer Name Available,$15-25 USD / hour,118 proposals,"George Town,  Malaysia","I'm in a bit of a financial crunch and urgently need a modern, minimalist portfolio website to showcase my work. The sooner I can get this up and running, the better. 

Key requirements:
- Website should be minimalist yet modern, easy to navigate, and visually appealing.
- Should effectively showcase a portfolio.
- Need for quick turnaround.

Ideal skills for the job:
- Experienced in website development, particularly for portfolio sites.
- Strong understanding of modern minimalist design principles.
- Ability to deliver high-quality work under tight deadlines."
Daily Excel Update from CSV Files,No Employer Name Available,₹1500-12500 INR,5 proposals,"Lauriya,  India","I need help with my daily data management task. Each day, I receive a new CSV file containing updates and new records that need to be added to my existing Excel file.

Key requirements:
- Add new records from the CSV to the Excel
- Identify new records in the CSV by unique ID

Ideal skills include:
- Proficiency in Excel
- Experience with CSV files
- Attention to detail
- Ability to handle daily tasks consistently and efficiently

This project requires updating an Excel sheet with data from a CSV file on a daily basis. It’s crucial that new records are correctly identified by their unique IDs to ensure the integrity of the data."
Wildlife Tour Ticketing Automation,No Employer Name Available,₹12500-37500 INR,12 proposals,"Jaipur,  India","I am a wildlife tour organizer in India and I need help in automating ticket bookings on my website. The primary focus will be to streamline the ticket purchase process. 

Key Requirements:
- Automation of the ticket purchase process on my wildlife ticket booking website
- Integration of secure payment gateways supporting Credit/Debit cards and Bank transfers

Ideal Skills and Experience:
- Proficient in web app development
- Experience with e-commerce and ticketing platforms
- Knowledge of integrating various payment methods
- Ability to create user-friendly, efficient and secure web apps"
App ios androidncar parts sales,No Employer Name Available,€30-250 EUR,72 proposals,"Valenca,  Portugal","Good morning
I want to create an app to sell car parts.Ios+[login to view URL] already have the site built.I want an app on google play and the app store.I ask you to send me the link with the app template along with the proposals.I will also only consider proposals with real and objective prices.I want the app published in the respective stores
Serious people only
The project is urgent.
Thank you"
Power BI Expert Needed for Asset Analysis,No Employer Name Available,$30-250 USD,21 proposals,"Dubai,  United Arab Emirates","I'm seeking a Power BI expert who can assist me in queries and table creation. I'm currently pulling IT asset data from various APIs, specifically related to systems and laptops.

Key Responsibilities:
- Assist with merging data from multiple sources
- Help with comparison and adding new columns
- Create Power BI dashboards that primarily focus on tracking inventory and availability 

Ideal Skills & Experience:
- Proficient in Power BI
- Experience with data from APIs
- Skilled in data merging, comparison, and transformation
- Ability to create insightful dashboards for asset tracking"
No Title Available,No Employer Name Available,Not Disclosed,No Location Available,No Location Available,No Description Available
Modern Aesthetic Revamp for ShrewdLearn,No Employer Name Available,₹600-1500 INR,5 proposals,"Bengaluru,  India","I'm looking for a talented web designer to give my website, [login to view URL], a modern and trendy facelift. This site was originally created by AI and is currently hosted on Hostinger. The goal of this redesign is primarily to improve the aesthetics of the site, making it more visually appealing and in line with contemporary design trends.

Key Requirements:
- A modern/trendy design style: The redesign should reflect a sleek, up-to-date aesthetic that captures attention and holds interest.
- Use of high-quality images: The new design should incorporate high-resolution images, enhancing the visual appeal and professionalism of the site.
- Implementation of a vibrant color scheme: The use of a lively, engaging color palette is crucial to the redesign. The colors should be well-coordinated and contribute to a cohesive overall look.
- Smooth user experience: While the primary focus is on aesthetics, the site should also be user-friendly, with intuitive navigation and a seamless browsing experience.
- Future flexibility: The redesigned site should be easy to update in the future, allowing for the addition of banners and new pages as needed.

Ideal candidates for this project should have:
- A strong portfolio of modern web design
- Experience with user interface/user experience (UI/UX) design
- Proficiency in working with high-quality images and vibrant color schemes
- Knowledge of how to create flexible, easily updatable websites 

I look forward to seeing your proposals and discussing how we can enhance the visual appeal and user engagement of my site."
Indonesian Language Translations - Ambonese Malay 2,No Employer Name Available,$15-25 USD / hour,3 proposals,"Plano,  United States","I am in need of translation services from Indonesian into Ambonese Malay

Ideal Skills:
- Fluent in both Indonesian and Ambonese Malay
- Exceptional translation skills
- Experience with formal, academic or professional content
- Familiarity with potential cultural nuances and ability to convey these in the translation"
